,B23409,B00367,B13847,B15553,B10749,B03605,B17517,B05851,B12869,B20167,B18365,B21754,B21401,B21937,B21046,B18646,B11920,B20159,B07325,B21967
38717,12.88289,35.55018,11.50636,13.29872,25.17435,19.759,10.44675,30.24456,10,246.50262,51.20245,28.29245,71.00312,13.33306,21.25487,12.79461,18.93086,156.02005,23.07846,25.53953
38718,12.88289,35.55018,11.50636,13.29872,25.17435,19.759,10.44675,30.24456,10,246.50262,51.20245,28.29245,71.00312,13.33306,21.25487,12.79461,18.93086,156.02005,23.07846,25.53953
38719,12.88289,35.55018,11.50636,13.29872,25.17435,19.759,10.44675,30.24456,10,246.50262,51.20245,28.29245,71.00312,13.33306,21.25487,12.79461,18.93086,156.02005,23.07846,25.53953
38720,13.08824,35.60458,11.57815,13.52239,25.56893,20.38565,10.75808,30.26963,10.16,235.42289,51.59738,28.32407,71.96846,13.5299,21.32307,12.95087,18.98386,156.34645,23.76154,26.36954
38721,13.1747,35.63178,11.5884,13.60373,25.63469,20.69897,10.89644,30.30422,10.23,234.30632,51.67636,28.32749,72.50194,13.5817,21.3799,13.02773,19.07706,155.77525,24.02989,26.80495
38722,13.1747,35.61818,11.56789,13.60373,25.58208,20.62064,10.85032,30.30734,10.25,237.14067,51.67636,28.33087,72.57815,13.59206,21.40263,13.03713,19.07952,156.02005,23.88352,26.9138
38723,13.29359,35.61818,11.66019,13.73591,25.84514,20.83605,10.98869,30.31046,10.34,231.81553,52.328,28.33087,73.16243,13.71637,21.52766,13.21173,19.1321,156.42805,24.15187,27.21314
38724,13.29359,35.61818,11.66019,13.73591,25.84514,20.83605,10.98869,30.31046,10.34,231.81553,52.328,28.33087,73.16243,13.71637,21.52766,13.21173,19.1321,156.42805,24.15187,27.21314
38725,13.29359,35.61818,11.66019,13.73591,25.84514,20.83605,10.98869,30.31046,10.34,231.81553,52.328,28.33087,73.16243,13.71637,21.52766,13.21173,19.1321,156.42805,24.15187,27.21314
38726,13.35843,35.64538,11.73198,13.78674,25.9109,20.81647,10.97716,30.31982,10.38,231.90142,52.5847,28.33424,73.6705,13.76817,21.69815,13.28431,19.1356,156.34645,24.12748,27.49888
38727,13.34763,35.61818,11.73198,13.78674,25.87144,20.64023,10.87338,30.29149,10.36,229.6683,52.76242,28.3094,73.6451,13.72673,21.84591,13.36294,19.13797,157.97846,24.0177,27.34921
38728,13.36924,35.59098,11.773,13.83758,25.93721,20.85564,10.97716,30.27888,10.39,228.63762,52.95988,28.31277,73.72131,13.73709,21.81181,13.30707,19.14113,158.63127,24.27385,27.5397
38729,13.32601,35.64538,11.71147,13.75624,25.79253,20.81647,10.90798,30.31346,10.37,230.61308,52.74267,28.34435,73.16243,13.66458,21.77772,13.23522,19.14369,157.32566,24.16407,27.7438
38730,13.33682,35.69978,11.70121,13.77658,25.87144,20.85564,10.94257,30.37949,10.39,227.26339,52.76242,28.37255,73.13703,13.68529,21.83455,13.25475,19.19863,155.44885,24.23726,27.73019
38731,13.33682,35.69978,11.70121,13.77658,25.87144,20.85564,10.94257,30.37949,10.39,227.26339,52.76242,28.37255,73.13703,13.68529,21.83455,13.25475,19.19863,155.44885,24.23726,27.73019
38732,13.33682,35.69978,11.70121,13.77658,25.87144,20.85564,10.94257,30.37949,10.39,227.26339,52.76242,28.37255,73.13703,13.68529,21.83455,13.25475,19.19863,155.44885,24.23726,27.73019
38733,13.33682,35.69978,11.70121,13.77658,25.87144,20.85564,10.94257,30.37949,10.39,227.26339,52.76242,28.37255,73.13703,13.68529,21.83455,13.25475,19.19863,155.44885,24.23726,27.73019
38734,13.29359,35.74058,11.62943,13.73591,25.87144,20.52273,10.79267,30.40772,10.35,223.05481,52.36749,28.34745,72.65436,13.62314,21.74362,13.12261,19.1548,155.20405,23.9811,27.52609
38735,13.21793,35.74058,11.63968,13.66474,25.80568,20.26815,10.63124,30.42657,10.29,226.06094,52.48597,28.35039,72.60355,13.62314,21.75498,13.13862,19.16279,155.20405,23.68835,27.07708
38736,13.33682,35.72698,11.72172,13.74607,25.98982,20.50315,10.76961,30.39823,10.39,221.07935,52.70318,28.35332,72.83218,13.69565,22.01641,13.27245,19.16525,156.10165,24.02989,27.68937
38737,13.18551,35.75418,11.52687,13.49189,25.62154,20.38565,10.6543,30.40135,10.29,220.64991,52.30825,28.35332,71.86684,13.43666,21.75498,13.14724,19.2178,155.44885,23.84692,27.49888
38738,13.18551,35.75418,11.52687,13.49189,25.62154,20.38565,10.6543,30.40135,10.29,220.64991,52.30825,28.35332,71.86684,13.43666,21.75498,13.14724,19.2178,155.44885,23.84692,27.49888
38739,13.18551,35.75418,11.52687,13.49189,25.62154,20.38565,10.6543,30.40135,10.29,220.64991,52.30825,28.35332,71.86684,13.43666,21.75498,13.14724,19.2178,155.44885,23.84692,27.49888
38740,13.23955,35.76778,11.51662,13.52239,25.72676,20.62064,10.78114,30.42646,10.33,218.33089,52.2885,28.35608,72.2733,13.41594,21.78908,13.19375,19.26568,155.85685,24.21286,27.63495
38741,13.3152,35.75418,11.60891,13.56306,25.73992,20.67939,10.8042,30.42958,10.37,219.61923,52.50571,28.35884,72.83218,13.4263,22.07324,13.3617,19.26776,156.75446,24.23726,28.02954
38742,13.29359,35.68618,11.5884,13.54273,25.76622,20.73814,10.83879,30.35406,10.35,223.99959,52.24901,28.33343,72.78138,13.4781,22.10734,13.35906,19.22501,159.12087,24.24946,28.35609
38743,13.38005,35.65898,11.66019,13.6444,25.96351,21.03188,10.96563,30.31,10.43,224.08548,52.60445,28.30803,73.13703,13.5299,22.3233,13.61737,19.18202,160.26328,24.40803,28.64183
38744,13.4557,35.68618,11.70121,13.74607,26.12134,21.11021,11.03481,30.32886,10.54,220.13457,52.94014,28.30803,73.72131,13.62314,22.47106,13.62054,19.18937,160.26328,24.49341,28.96839
38745,13.4557,35.68618,11.70121,13.74607,26.12134,21.11021,11.03481,30.32886,10.54,220.13457,52.94014,28.30803,73.72131,13.62314,22.47106,13.62054,19.18937,160.26328,24.49341,28.96839
38746,13.4557,35.68618,11.70121,13.74607,26.12134,21.11021,11.03481,30.32886,10.54,220.13457,52.94014,28.30803,73.72131,13.62314,22.47106,13.62054,19.18937,160.26328,24.49341,28.96839
38747,13.47732,35.67258,11.6807,13.77658,26.1345,21.05146,11.02328,30.32252,10.56,214.80943,52.72292,28.31076,73.72131,13.60242,22.40286,13.65862,19.19197,160.50808,24.46902,28.90036
38748,13.49894,35.68618,11.67045,13.73591,26.06873,21.14938,11.08094,30.32562,10.57,215.92599,52.82166,28.36086,73.39106,13.57134,22.42559,13.69003,19.1948,160.01847,24.591,29.10446
38749,13.48813,35.65898,11.70121,13.76641,26.06873,21.14938,11.08094,30.29766,10.57,220.39224,52.76242,28.33526,73.54348,13.59206,22.47106,13.68153,19.19964,160.83448,24.5666,29.09085
